ID	Number_of_Samples	Data_Type	Target	File_Type	Organism	Cell_line	Genomic_Reference	Title
GSE272993	360	scRNAseq		tar	human	PBMCs	GRCh38-2020-A	Combination anti-PD-1 and anti-CTLA-4 therapy generates waves of clonal responses that include progenitor-exhausted CD8 T cells
GSE270976	18	bulk RNAseq		csv	human	M405  xenograft	GRCh38	selenocysteine tRNA methylation promotes oxidative stress resistance in melanoma metastasis
GSE261023	3	scRNAseq/scATACseq		tar	human	patient samples	GRCh38	Tumor-reactive T cell clonotype dynamics underlying clinical response to TIL therapy in melanoma
GSE275929	58	scRNAseq		tar	human	patient samples	hg38	Immune niches in brain metastases contain TCF1+ stem-like T cells, are associated with disease control and are modulated by preoperative SRS
GSE277569	7	scRNAseq		tar	human	patient-derived organotypic tumor spheroids	GRCh38	Evaluating Novel Therapeutic Strategies to Enhance CAR-T Cell Efficacy Using Patient-Derived Organotypic Tumor Spheroids
GSE279162	9	scRNAseq		tar	human	WM989	hg38	Pre-existing cell states predict resistance to multiple treatments
GSE268364	24	scRNAseq		10x	human	PBMCs	GRCh38	Cyotoxicity in CD8+ T cells differs among adjuvant immune checkpoint blockade therapie
GSE262779	10	bulk RNAseq		txt	human	M150543	GRCh38 release 105	Monitoring of melanoma patients on treatment reveals a distinct macrophage population driving targeted therapy resistance
GSE247684	6	scRNAseq		csv/tsv	human	A375	hg38/GRCh38	Cellular adaptation to cancer therapy along a resistance continuum
GSE213326	16	ChIPseq		tar	human	A375	GRCh38	A chronic signaling TGFb zebrafish reporter identifies immune response in melanoma
GSE213327	6	bulk RNAseq		txt	human	A375	GRCh38	A chronic signaling TGFb zebrafish reporter identifies immune response in melanoma
GSE217707	10	scRNAseq		tar	human	patient samples	GRCh38	Single-cell sequencing analysis reveals the tissue architecture and empowers clinical trial in advanced conjunctival melanoma
GSE243238	20	bulk RNAseq		csv	human	acral melanoma patient samples	GRCh38	Identification of tumor-intrinsic drivers of immune exclusion in acral melanoma
GSE227001	12	scRNAseq		10x	human	PBMCs	GRCh38	Multiomics analysis of immune-related adverse events in melanoma patients treated with immune checkpoint inhibitors
GSE229908	14	scRNAseq		10x	human	patient samples	GRCh38	Monitoring melanoma patients on treatment reveals a distinct macrophage population driving targeted therapy resistance
GSE220731	48	bulk RNAseq		tsv	mouse	NMM	GRCm38	Distinct spatiotemporal dynamics of CD8+ T cell-derived cytokines in the tumor microenvironment (5892)
GSE246621	29	bulk RNAseq		tsv	mouse	NMM	GRCm38	Distinct spatiotemporal dynamics of CD8+ T cell-derived cytokines in the tumor microenvironment (5892)
GSE220737	2	scRNAseq		10x	mouse	NMM	GRCm38	Distinct spatiotemporal dynamics of CD8+ T cell-derived cytokines in the tumor microenvironment (5892)
GSE230864	39	bulk RNAseq		csv	human	patient samples	GRCh38	Re-evaluating the melanoma TIL compartment and its unexpected spectrum of exhausted and functional T cells
GSE210963	3	scRNAseq		10x	human	PBMCs	hg38	Single-Cell RNA-Seq Analysis of Patient Myeloid-Derived Suppressor Cells and the Response to Inhibition of Bruton’s Tyrosine Kinase
GSE222258	9	scRNAseq		10x	human	human NRAS-mutated melanoma PDX in mice	hg38	Metabolic targeting as a strategy to overcome targeted therapy resistance in NRAS-mutated melanoma
GSE232760	3	scRNAseq		10x	human	A375	grch38-2020	Single-cell genomics analysis reveals complex genetic interactions in an in vivo model of acquired BRAF inhibitor resistance.
GSE255299	96	scRNAseq		10x	human	patient CTCs	GRCh38	Single-Cell Identification of Melanoma Biomarkers in Circulating Tumor Cells
GSE249909	1	scRNAseq		tar	human	Metastatic melanoma	GRCh38	MCL1 inhibition targets Myeloid Derived Suppressors Cells, promotes antitumor immunity and enhances the efficacy of immune checkpoint blockade
GSE248838	15	scRNAseq		10x	human	T-cells	GRCh38-2020-A	Divergent local and systemic antitumor response in primary uveal melanomas
GSE252781	13	bulk RNAseq		txt	human	M397	hg19	Temporal dynamics of signaling and transcription underlying early adaptation to oncogenic BRAF inhibition in melanoma
GSE246923	4	scRNAseq		10x	mouse	IFNAR-mice and IRF1KO-tumor	mm10	Opposing tumor cell-intrinsic and -extrinsic roles of the IRF1 transcription factor in anti-tumor immunity
